160  400
67	129				
19	41				
25	144				
10	123				
40	155				
112	142				
79	141				
96	102				
40	122				
0	90				
52	113				
17	63				
72	100				
115	139				
40	127				
88	101				
48	101				
116	145				
68	74				
113	153				
73	149				
23	56				
31	75				
117	118				
5	28				
58	159				
72	92				
8	62				
136	153				
14	93				
25	96				
37	128				
12	149				
39	143				
110	131				
74	132				
16	58				
123	124				
37	53				
17	54				
11	52				
25	90				
98	133				
57	60				
30	73				
10	51				
8	55				
19	150				
37	78				
84	124				
12	93				
24	138				
11	61				
76	90				
18	156				
133	143				
21	156				
98	127				
10	41				
31	115				
46	127				
102	146				
4	41				
5	60				
38	43				
86	87				
12	85				
140	141				
90	159				
9	27				
151	155				
58	74				
52	60				
78	92				
37	67				
50	85				
83	89				
48	79				
87	118				
17	122				
59	106				
17	144				
72	145				
140	156				
2	36				
38	111				
91	156				
68	119				
131	141				
120	148				
0	38				
41	91				
12	148				
52	115				
34	77				
118	154				
61	136				
22	139				
4	49				
72	96				
59	89				
32	61				
39	119				
54	134				
27	33				
64	102				
19	119				
120	153				
13	102				
69	80				
86	138				
134	136				
6	36				
105	147				
45	154				
12	126				
1	136				
53	87				
47	95				
21	78				
9	11				
43	45				
98	139				
36	143				
85	127				
47	125				
91	102				
55	142				
122	159				
128	151				
8	150				
5	6				
0	119				
68	84				
83	138				
44	81				
46	140				
50	56				
69	94				
26	130				
3	18				
18	71				
37	123				
77	92				
16	146				
31	121				
49	53				
27	74				
70	137				
39	47				
74	87				
76	86				
15	111				
19	45				
100	132				
65	155				
3	18				
146	154				
7	129				
70	140				
103	131				
12	43				
62	97				
22	154				
42	45				
79	116				
53	121				
1	127				
7	45				
11	98				
5	85				
4	74				
79	98				
23	109				
4	75				
8	102				
46	149				
46	117				
73	115				
31	45				
43	52				
12	158				
122	136				
11	20				
93	158				
126	129				
60	90				
48	120				
93	141				
21	70				
67	83				
23	49				
39	126				
38	115				
128	144				
20	117				
64	76				
79	104				
106	143				
24	44				
140	147				
90	147				
62	68				
151	152				
15	110				
32	50				
13	78				
96	117				
50	63				
0	155				
16	77				
51	129				
62	152				
44	60				
6	123				
63	135				
44	69				
14	61				
29	98				
30	90				
56	92				
19	105				
112	118				
19	125				
43	102				
48	78				
9	75				
94	110				
109	119				
30	131				
23	51				
18	159				
5	138				
32	117				
100	136				
4	128				
27	130				
71	74				
68	127				
87	142				
69	141				
119	153				
46	49				
120	154				
84	132				
110	153				
91	153				
71	133				
63	125				
9	154				
14	48				
108	110				
47	157				
28	80				
148	150				
99	148				
11	131				
38	79				
70	148				
53	72				
21	145				
63	108				
150	158				
68	100				
47	51				
102	121				
50	159				
40	52				
29	127				
26	76				
45	123				
18	130				
63	116				
143	149				
55	61				
44	118				
56	159				
63	85				
39	81				
14	159				
20	69				
99	121				
42	62				
146	158				
18	81				
39	88				
21	23				
18	56				
125	141				
10	55				
45	153				
37	109				
23	35				
115	131				
15	148				
12	76				
139	154				
0	4				
126	142				
7	87				
25	130				
112	146				
115	156				
63	137				
60	68				
1	154				
32	141				
68	132				
24	44				
79	82				
80	151				
26	150				
64	97				
35	118				
1	80				
68	76				
1	8				
22	125				
0	74				
49	157				
18	57				
139	145				
46	50				
17	83				
91	136				
21	83				
38	45				
30	107				
68	122				
2	155				
7	76				
94	99				
55	113				
15	30				
117	140				
13	125				
63	120				
35	44				
86	158				
15	137				
117	130				
95	152				
49	117				
15	48				
126	146				
54	146				
11	137				
12	159				
87	153				
87	154				
44	158				
11	114				
1	29				
116	141				
124	140				
85	156				
88	126				
109	110				
30	95				
25	93				
94	99				
8	59				
47	93				
19	57				
11	86				
66	140				
26	83				
1	19				
28	124				
7	88				
22	51				
36	99				
48	142				
3	124				
36	144				
7	138				
76	116				
40	62				
61	120				
18	69				
26	138				
24	151				
115	157				
38	68				
132	148				
3	115				
55	101				
127	128				
12	78				
6	133				
59	82				
6	145				
22	85				
35	47				
138	147				
1	117				
12	65				
0	74				
22	86				
85	135				
